app_config_id,deadline,delta_t,e_fail,e_fail_multiplier,lambda,num_nodes,repetition_id,restart_overhead,dynamic__off__off,dynamic__independent__off,random__off__off,random__independent__off,static_foresighted_expected_error__off__off,static_foresighted_expected_error__independent__off,static_foresighted_error_level__off__off,static_foresighted_error_level__independent__off,static_foresighted_probability_success__off__off,static_foresighted_probability_success__independent__off,static_foresighted_success_error_ratio__off__off,static_foresighted_success_error_ratio__independent__off,static_nearsighted_expected_error__off__off,static_nearsighted_expected_error__independent__off,static_nearsighted_error_level__off__off,static_nearsighted_error_level__independent__off,static_nearsighted_probability_success__off__off,static_nearsighted_probability_success__independent__off,static_nearsighted_success_error_ratio__off__off,static_nearsighted_success_error_ratio__independent__off,num_tasks,num_options_per_task,p_fastest_single,p_slowest_single,max_error,min_error
2,10000.0,5.0,12057.8797,5.0,0.001,1,6,0.0,38.4922,38.4922,601.462,220.223,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,7,0.0,38.4922,38.4922,4823.15,308.303,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,7,0.0,38.4922,38.4922,601.462,128.974,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,8,0.0,4823.15,4823.15,4823.15,107.599,4823.15,4823.15,4823.15,4823.15,150.635,150.635,4823.15,4823.15,4823.15,4823.15,4823.15,4823.15,150.635,150.635,4823.15,4823.15,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,8,0.0,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,150.635,150.635,12057.9,12057.9,12057.9,12057.9,12057.9,12057.9,150.635,150.635,12057.9,12057.9,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,4823.1519,2.0,0.001,1,9,0.0,38.4922,38.4922,54.9249,4823.15,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
2,10000.0,5.0,12057.8797,5.0,0.001,1,9,0.0,38.4922,38.4922,27.4952,150.635,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,38.4922,38.4922,16.4982,16.4982,150.635,150.635,16.4982,16.4982,4,"[2, 3, 2, 4]",0.4143950386713868,0.0222355263537222,2411.575937605661,16.498212988740892
3,10000.0,5.0,619.6103,2.0,0.001,1,0,0.0,34.3185,34.3185,57.8574,101.561,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,619.61,619.61,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,1549.0258,5.0,0.001,1,0,0.0,34.3185,34.3185,1549.03,1549.03,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,1549.03,1549.03,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
3,10000.0,5.0,619.6103,2.0,0.001,1,1,0.0,34.3185,34.3185,141.892,51.3226,34.3185,34.3185,34.3185,34.3185,104.935,104.935,34.3185,34.3185,34.3185,34.3185,34.3185,34.3185,182.925,182.925,34.3185,34.3185,3,"[4, 2, 4]",0.3395904066374725,0.0589252039941283,309.80515274873693,34.31845310286323
